iter	Passed	Remaining
691	1103	490
692	1104	489
693	1105	487
694	1107	486
695	1108	484
696	1110	482
697	1111	481
698	1113	479
699	1114	477
700	1116	476
701	1117	474
702	1118	472
703	1120	471
704	1122	469
705	1124	468
706	1125	466
707	1126	464
708	1127	462
709	1129	461
710	1130	459
711	1131	457
712	1132	455
713	1133	454
714	1135	452
715	1136	450
716	1138	449
717	1139	447
718	1140	445
719	1142	444
720	1143	442
721	1144	440
722	1145	438
723	1146	437
724	1147	435
725	1149	433
726	1151	432
727	1152	430
728	1153	428
729	1154	427
730	1156	425
731	1157	423
732	1158	422
733	1159	420
734	1160	418
735	1162	416
736	1163	415
737	1165	413
738	1166	412
739	1168	410
740	1169	408
741	1170	406
742	1171	405
743	1172	403
744	1174	401
745	1175	400
746	1176	398
747	1178	396
748	1179	395
749	1181	393
750	1182	391
751	1183	390
752	1184	388
753	1186	386
754	1187	385
755	1188	383
756	1189	381
757	1190	380
758	1192	378
759	1193	376
760	1194	375
761	1196	373
762	1197	371
763	1198	370
764	1200	368
765	1201	367
766	1203	365
767	1204	363
768	1205	362
769	1206	360
770	1207	358
771	1208	357
772	1210	355
773	1212	353
774	1213	352
775	1214	350
776	1215	348
777	1217	347
778	1218	345
779	1219	344
780	1221	342
781	1222	340
782	1223	339
783	1224	337
784	1226	335
785	1227	334
786	1228	332
787	1229	330
788	1231	329
789	1232	327
790	1233	325
791	1234	324
792	1236	322
793	1237	321
794	1238	319
795	1240	317
796	1241	316
797	1242	314
798	1243	312
799	1244	311
800	1245	309
801	1246	307
802	1248	306
803	1249	304
804	1250	302
805	1251	301
806	1252	299
807	1254	298
808	1255	296
809	1257	294
810	1258	293
811	1259	291
812	1261	290
813	1262	288
814	1264	286
815	1265	285
816	1266	283
817	1267	282
818	1269	280
819	1271	279
820	1272	277
821	1275	276
822	1276	274
823	1277	272
824	1279	271
825	1280	269
826	1281	268
827	1283	266
828	1284	264
829	1286	263
830	1287	261
831	1288	260
832	1289	258
833	1292	257
834	1293	255
835	1294	253
836	1295	252
837	1297	250
838	1298	249
839	1299	247
840	1301	246
841	1302	244
842	1304	242
843	1305	241
844	1307	239
845	1308	238
846	1309	236
847	1310	234
848	1312	233
849	1313	231
850	1315	230
851	1316	228
852	1317	227
853	1319	225
854	1320	223
855	1322	222
856	1323	220
857	1324	219
858	1326	217
859	1327	216
860	1328	214
861	1330	213
862	1331	211
863	1333	209
864	1334	208
865	1336	206
866	1337	205
867	1339	203
868	1340	202
869	1341	200
870	1343	198
871	1344	197
872	1345	195
873	1347	194
874	1349	192
875	1350	191
876	1352	189
877	1353	188
878	1354	186
879	1355	184
880	1357	183
881	1358	181
882	1360	180
883	1361	178
884	1362	177
885	1363	175
886	1366	174
887	1367	172
888	1368	170
889	1370	169
890	1371	167
891	1372	166
892	1374	164
893	1376	163
894	1377	161
895	1378	160
896	1379	158
897	1381	156
898	1382	155
899	1384	153
900	1385	152
901	1387	150
902	1388	149
903	1390	147
904	1392	146
905	1394	144
906	1396	143
907	1397	141
908	1398	140
909	1400	138
910	1401	136
911	1403	135
912	1404	133
913	1406	132
914	1407	130
915	1409	129
916	1410	127
917	1412	126
918	1413	124
919	1415	123
920	1416	121
921	1418	119
922	1419	118
923	1420	116
924	1422	115
925	1424	113
926	1425	112
927	1427	110
928	1428	109
929	1430	107
930	1431	106
931	1432	104
932	1434	102
933	1435	101
934	1437	99
935	1438	98
936	1440	96
937	1441	95
938	1443	93
939	1444	92
940	1445	90
941	1447	89
942	1448	87
943	1450	86
944	1451	84
945	1452	82
946	1455	81
947	1456	79
948	1457	78
949	1459	76
950	1461	75
951	1462	73
952	1464	72
953	1465	70
954	1467	69
955	1469	67
956	1470	66
957	1471	64
958	1473	62
959	1474	61
960	1475	59
961	1477	58
962	1479	56
963	1480	55
964	1481	53
965	1483	52
966	1484	50
967	1486	49
968	1487	47
969	1488	46
970	1490	44
971	1491	42
972	1492	41
973	1493	39
974	1495	38
975	1496	36
976	1498	35
977	1499	33
978	1500	32
979	1502	30
980	1503	29
981	1505	27
982	1506	26
983	1507	24
984	1508	22
985	1509	21
986	1511	19
987	1512	18
988	1513	16
989	1514	15
990	1516	13
991	1517	12
992	1518	10
993	1519	9
994	1521	7
995	1522	6
996	1523	4
997	1525	3
998	1526	1
999	1527	0
